SIDO,SIGUNGU,SEX_GB,AGE_GB,POPU_NUM,popu_per
경기도,성남시,여,전체,476080,1
경기도,성남시,전체,0,72005,0.076
경기도,성남시,전체,10,91259,0.097
경기도,성남시,전체,20,132387,0.14
경기도,성남시,전체,30,139568,0.148
경기도,성남시,전체,40,160310,0.17
경기도,성남시,전체,50,156408,0.166
경기도,성남시,전체,60,106514,0.113
경기도,성남시,전체,70,56327,0.06
경기도,성남시,전체,80,27946,0.03
경기도,성남시,전체,전체,942724,1
경기도,성남시 분당구,남,0,21395,0.09
경기도,성남시 분당구,남,10,28471,0.12
경기도,성남시 분당구,남,20,33650,0.142
경기도,성남시 분당구,남,30,34715,0.147
경기도,성남시 분당구,남,40,41409,0.175
경기도,성남시 분당구,남,50,37335,0.158
경기도,성남시 분당구,남,60,23052,0.097
경기도,성남시 분당구,남,70,11286,0.048
경기도,성남시 분당구,남,80,5256,0.022
경기도,성남시 분당구,남,전체,236569,1
경기도,성남시 분당구,여,0,20290,0.081
경기도,성남시 분당구,여,10,27100,0.108
경기도,성남시 분당구,여,20,33332,0.133
경기도,성남시 분당구,여,30,37638,0.15
경기도,성남시 분당구,여,40,47189,0.188
경기도,성남시 분당구,여,50,38785,0.154
경기도,성남시 분당구,여,60,23773,0.095
경기도,성남시 분당구,여,70,13890,0.055
경기도,성남시 분당구,여,80,9439,0.038
경기도,성남시 분당구,여,전체,251436,1
경기도,성남시 분당구,전체,0,41685,0.085
경기도,성남시 분당구,전체,10,55571,0.114
경기도,성남시 분당구,전체,20,66982,0.137
경기도,성남시 분당구,전체,30,72353,0.148
경기도,성남시 분당구,전체,40,88598,0.182
경기도,성남시 분당구,전체,50,76120,0.156
경기도,성남시 분당구,전체,60,46825,0.096
경기도,성남시 분당구,전체,70,25176,0.052
경기도,성남시 분당구,전체,80,14695,0.03
경기도,성남시 분당구,전체,전체,488005,1
경기도,성남시 수정구,남,0,8134,0.069
경기도,성남시 수정구,남,10,9219,0.078
경기도,성남시 수정구,남,20,17780,0.15
경기도,성남시 수정구,남,30,18622,0.157
경기도,성남시 수정구,남,40,19787,0.167
경기도,성남시 수정구,남,50,20500,0.173
